date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:10	64082/64082	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:09%20GMT	https://lengaswear.com/	E:/My%20website/Juanfer/lengaswear.com/index.html	(from )
18:16:10	8578/8578	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Aug%202020%2023:16:08%20GMT	https://lengaswear.com/robots.txt		(from )
18:16:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2004%20Aug%202020%2023:16:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/My%20website/Juanfer/www.googletagmanager.com/gtm.05445.delayed	(from https://lengaswear.com/)
18:16:12	357/357	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202019%2001:59:41%20GMT	https://lengaswear.com/imgs/favicon.png	E:/My%20website/Juanfer/lengaswear.com/imgs/favicon.png	(from https://lengaswear.com/)
18:16:12	15110/15110	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202020%2020:56:06%20GMT	https://lengaswear.com/css/home.css	E:/My%20website/Juanfer/lengaswear.com/css/home.css	(from https://lengaswear.com/)
18:16:13	14710/14710	---M--	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202020%2020:57:09%20GMT	https://lengaswear.com/css/homeMobile.css?refrescate=1	E:/My%20website/Juanfer/lengaswear.com/css/homeMobile6e12.css	(from https://lengaswear.com/)
18:16:14	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	E:/My%20website/Juanfer/code.jquery.com/jquery-3.3.1.min.js	(from https://lengaswear.com/)
18:16:14	23620/23620	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:13%20GMT	https://lengaswear.com/carrito	E:/My%20website/Juanfer/lengaswear.com/carrito.html	(from https://lengaswear.com/)
18:16:15	2342/2342	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Jun%202019%2013:26:57%20GMT	https://lengaswear.com/imgs/shopping-cart.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/shopping-cart.svg	(from https://lengaswear.com/)
18:16:15	4158/4158	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jan%202020%2017:28:10%20GMT	https://lengaswear.com/imgs/Imagotipo-Pepa.png	E:/My%20website/Juanfer/lengaswear.com/imgs/Imagotipo-Pepa.png	(from https://lengaswear.com/)
18:16:16	1154/1154	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Jan%202020%2017:28:11%20GMT	https://lengaswear.com/imgs/argentina.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/argentina.svg	(from https://lengaswear.com/)
18:16:16	2077/2077	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2014%20Jun%202020%2014:49:10%20GMT	https://lengaswear.com/imgs/latin.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/latin.svg	(from https://lengaswear.com/)
18:16:16	2156/2156	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2005%20Feb%202020%2019:55:18%20GMT	https://lengaswear.com/imgs/spain.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/spain.svg	(from https://lengaswear.com/)
18:16:17	3218/3218	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Jan%202020%2017:28:11%20GMT	https://lengaswear.com/imgs/europe.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/europe.svg	(from https://lengaswear.com/)
18:16:17	9375/9375	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2030%20Jan%202020%2017:28:11%20GMT	https://lengaswear.com/imgs/united-states.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/united-states.svg	(from https://lengaswear.com/)
18:16:18	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Aug%202020%2023:16:16%20GMT	https://lengaswear.com/en	E:/My%20website/Juanfer/lengaswear.com/en.d.delayed	(from https://lengaswear.com/)
18:16:18	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Aug%202020%2023:16:17%20GMT	https://lengaswear.com/es	E:/My%20website/Juanfer/lengaswear.com/es.e.delayed	(from https://lengaswear.com/)
18:16:18	54124/54124	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:17%20GMT	https://lengaswear.com/en/	E:/My%20website/Juanfer/lengaswear.com/en/index.html	(from https://lengaswear.com/)
18:16:18	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Aug%202020%2023:16:17%20GMT	https://lengaswear.com/latam	E:/My%20website/Juanfer/lengaswear.com/latam.f.delayed	(from https://lengaswear.com/)
18:16:18	59093/59093	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:17%20GMT	https://lengaswear.com/es/	E:/My%20website/Juanfer/lengaswear.com/es/index.html	(from https://lengaswear.com/)
18:16:19	3311/3311	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2013:26:44%20GMT	https://lengaswear.com/imgs/miniLogo.png	E:/My%20website/Juanfer/lengaswear.com/imgs/miniLogo.png	(from https://lengaswear.com/)
18:16:19	59032/59032	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:17%20GMT	https://lengaswear.com/latam/	E:/My%20website/Juanfer/lengaswear.com/latam/index.html	(from https://lengaswear.com/)
18:16:19	2242/2242	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Jun%202019%2013:25:59%20GMT	https://lengaswear.com/imgs/divisor.png	E:/My%20website/Juanfer/lengaswear.com/imgs/divisor.png	(from https://lengaswear.com/)
18:16:20	1045/1045	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2015%20Oct%202019%2001:42:32%20GMT	https://lengaswear.com/relojes/imgs/down-arrow.svg	E:/My%20website/Juanfer/lengaswear.com/relojes/imgs/down-arrow.svg	(from https://lengaswear.com/)
18:16:20	3238/3238	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Nov%202019%2000:38:04%20GMT	https://lengaswear.com/imgs/gift.svg	E:/My%20website/Juanfer/lengaswear.com/imgs/gift.svg	(from https://lengaswear.com/)
18:16:20	41835/41835	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:19%20GMT	https://lengaswear.com/relojes/quemanta	E:/My%20website/Juanfer/lengaswear.com/relojes/quemanta.html	(from https://lengaswear.com/)
18:16:21	47137/47137	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:19%20GMT	https://lengaswear.com/relojes/tesh	E:/My%20website/Juanfer/lengaswear.com/relojes/tesh.html	(from https://lengaswear.com/)
18:16:21	40388/40388	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:20%20GMT	https://lengaswear.com/relojes/jauke	E:/My%20website/Juanfer/lengaswear.com/relojes/jauke.html	(from https://lengaswear.com/)
18:16:22	45929/45929	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2023:16:20%20GMT	https://lengaswear.com/relojes/mahai	E:/My%20website/Juanfer/lengaswear.com/relojes/mahai.html	(from https://lengaswear.com/)
18:16:22	139258/139258	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jun%202019%2013:27:01%20GMT	https://lengaswear.com/imgs/step2.jpg	E:/My%20website/Juanfer/lengaswear.com/imgs/step2.jpg	(from https://lengaswear.com/)
